iteration,timestamp_utc,config_hash,config_path,best_model_hash,accepted,global_step,iter_time_s,replay_positions,consecutive_rejections,best_model,eval_vs_best_wr,eval_vs_best_margin,eval_vs_mcts_wr,train_grad_norm,train_kl_divergence,train_ownership_accuracy,train_ownership_loss,train_policy_accuracy,train_policy_entropy,train_policy_loss,train_policy_top5_accuracy,train_score_loss,train_step_skip_rate,train_total_loss,train_value_loss,train_value_mse,selfplay_avg_game_length,selfplay_avg_num_legal,selfplay_avg_policy_entropy,selfplay_avg_redundancy,selfplay_avg_root_q,selfplay_avg_top1_prob,selfplay_games_per_minute,selfplay_generation_time,selfplay_num_games,selfplay_num_positions,selfplay_p0_wins,selfplay_p1_wins,selfplay_unique_positions
0,2026-02-25T00:09:03.724269Z,ecc4ea53266a,configs/config_best.yaml,79caf34fe966749c,True,70,811.0,38191,0,runs\patchwork_production\committed\iter_000\iteration_000.pt,,,,1.9775930174759457,0.09958335874336106,0.7697335626397814,0.4968938312360219,0.34629185284887043,2.674489988599505,2.6760697160448346,0.465214844260897,0.0694527396666152,0.0,3.15961400781359,0.3881743750401906,0.3881743750401906,42.434444444444445,97.92707364124851,2.6500817993405277,0.1494353062999836,0.0,0.35471194077719453,75.17514194016678,718.3225545883179,900,38191,433,467,32377
1,2026-02-25T00:37:06.467296Z,ecc4ea53266a,configs/config_best.yaml,61d83593d1d779e4,True,208,1679.5,76611,0,runs\patchwork_production\committed\iter_001\iteration_001.pt,0.0,0.0,,1.0877212190973586,0.2715787009700485,0.8271182036918143,0.3386391621568928,0.3960055484287981,2.710896550745204,2.712438213652459,0.5508507265560869,0.041276393836175186,0.0,3.054170658622963,0.2785536303468372,0.2785536303468372,42.68888888888889,99.17069082442231,2.3534884586099896,0.15328345973276186,0.004821856740492207,0.3693748231525716,34.62445411132361,1559.5913751125336,900,38420,463,437,32418
2,2026-02-25T01:04:26.093815Z,ecc4ea53266a,configs/config_best.yaml,077d796cc4ee5a1d,True,412,1636.4,113488,0,runs\patchwork_production\committed\iter_002\iteration_002.pt,0.0,0.0,,0.7523996660522386,0.31388686334385596,0.8306705530952005,0.33124683432134927,0.37224223406291473,2.7780801385056737,2.778039328023499,0.5391922224970425,0.03913224214578376,0.0,3.1196174715079517,0.2801514460760004,0.2801514460760004,40.974444444444444,106.66709166597512,2.5816318954813897,0.11313336252174129,0.04511382902093706,0.3530157000345473,35.80289571651664,1508.2578914165497,900,36877,465,435,32619
3,2026-02-25T01:33:59.578077Z,ecc4ea53266a,configs/config_best.yaml,42ef41365c1d9b5e,True,686,1770.3,151828,0,runs\patchwork_production\committed\iter_003\iteration_003.pt,0.0,0.0,,0.6730841006675776,0.3182167625122697,0.8347258726610755,0.3251685255417859,0.39332951833731933,2.781701288084044,2.781850770442155,0.5740036081223592,0.03669163457587035,0.0,3.1352825364927304,0.2936489881716505,0.2936489881716505,42.6,103.24046387951117,2.527454995010612,0.12435050490739268,-0.019568471289745405,0.3623354264651509,33.14392699365144,1629.257752418518,900,38340,464,436,33478
4,2026-02-25T02:01:53.979491Z,ecc4ea53266a,configs/config_best.yaml,ab6fd6450715b95a,True,1026,1671.1,189199,0,runs\patchwork_production\committed\iter_004\iteration_004.pt,0.0,0.0,,0.5588874614852316,0.3227994652355418,0.836126773147022,0.3235374291153515,0.4080861382624682,2.7975227994077345,2.7972131602904375,0.5983984742094488,0.03589933060986154,0.0,3.160414763057933,0.3039011891273891,0.3039011891273891,41.52333333333333,105.54135238801304,2.570580721807732,0.11534247605422093,0.01577330243140978,0.3538476621766977,35.44100142953226,1523.658977508545,900,37371,461,439,32970
5,2026-02-25T02:29:56.685072Z,ecc4ea53266a,configs/config_best.yaml,472f6d3d233727f3,True,1434,1679.4,226825,0,runs\patchwork_production\committed\iter_005\iteration_005.pt,0.0,0.0,,0.4701682642540511,0.32191992083600923,0.8379756397768563,0.32127919311032577,0.4255735789443932,2.7986139696018366,2.798370152127509,0.623163609674164,0.035216037782055204,0.0,3.164475318263559,0.30734847507932606,0.30734847507932606,41.806666666666665,107.09481653466077,2.53601476966346,0.11617295989002502,0.018175272210425485,0.3615409196505363,35.30717601765394,1529.43412899971,900,37626,447,453,33162
6,2026-02-25T02:58:13.904236Z,ecc4ea53266a,configs/config_best.yaml,d86a6bb66b12d679,True,1910,1694.0,264612,0,runs\patchwork_production\committed\iter_006\iteration_006.pt,0.0,0.0,,0.44625045775490646,0.3194521967352939,0.8400639631167179,0.31883295406313505,0.44038012335781285,2.796231025908174,2.79624479157584,0.6428200076608097,0.034882191803400256,0.0,3.1647022877420694,0.31016789752395213,0.31016789752395213,41.98555555555556,107.31336890335123,2.535775455466904,0.11476543171174652,-0.006305258313658978,0.3604857090110499,35.27397545294549,1530.8736627101898,900,37787,432,468,33367
7,2026-02-25T03:38:22.330223Z,ecc4ea53266a,configs/config_best.yaml,ce1db597afa7b75c,True,2450,2405.1,302517,0,runs\patchwork_production\committed\iter_007\iteration_007.pt,0.0,0.0,,0.41553418238957723,0.31867758090849274,0.8418772216196413,0.3168781435600033,0.45280011743307114,2.787562999460432,2.7875834125059624,0.6591993676291572,0.03453889364652611,0.0,3.1553019748793707,0.30982516529383486,0.30982516529383486,42.11666666666667,106.27708176035489,2.462082285828383,0.11346684399760922,0.006854359356876315,0.3753492085861012,25.414825926446532,2124.7440433502197,900,37905,462,438,33522
8,2026-02-25T04:17:19.648670Z,ecc4ea53266a,configs/config_best.yaml,d6447ca39f4d77fd,True,2990,2334.1,302365,0,runs\patchwork_production\committed\iter_008\iteration_008.pt,0.0,0.0,,0.4181859024144985,0.33221659345759286,0.844741795901899,0.31385953271830525,0.47601326339774663,2.7839560897262006,2.7835958449928846,0.6950891033366875,0.034330899258040726,0.0,3.160498198756465,0.31952414948631214,0.31952414948631214,42.26555555555556,108.819008228018,2.5046808404496415,0.12013358659383513,-0.0018252652528154918,0.36651867531739385,25.848162421654223,2089.1233627796173,900,38039,443,457,33368
9,2026-02-25T04:48:49.369693Z,ecc4ea53266a,configs/config_best.yaml,32a516bcf085a1d3,True,3530,1886.5,301940,0,runs\patchwork_production\committed\iter_009\iteration_009.pt,0.0,0.0,,0.4067203022815563,0.3152289257005409,0.8474503336129365,0.3112121530705028,0.49152975645330216,2.7781102895736693,2.7774121668603686,0.713244761912911,0.03387119390277399,0.0,3.161586012222149,0.32733065844685943,0.32733065844685943,42.21666666666667,107.71143970512465,2.4187339608762835,0.11633065489628368,0.004412640896389417,0.38262910623978263,32.92192371081628,1640.244369506836,900,37995,458,442,33492
10,2026-02-25T05:19:01.644674Z,ecc4ea53266a,configs/config_best.yaml,da8ca03c6aed8c15,True,4070,1809.0,303130,0,runs\patchwork_production\committed\iter_010\iteration_010.pt,0.0,0.0,,0.42061509465177854,0.2985032073325581,0.8501427404306553,0.30733460430745724,0.5159341383863378,2.742975080013275,2.7423607027089156,0.742228881628425,0.033035587119283505,0.0,3.1266812977967438,0.32830972169284467,0.32830972169284467,42.29666666666667,109.05787573516861,2.423129865573364,0.1188331806250714,0.013502593459049236,0.3819445519721424,34.37127748781954,1571.079225063324,900,38067,457,443,33456
11,2026-02-25T05:49:55.174417Z,ecc4ea53266a,configs/config_best.yaml,5fabe2fc39e823bc,True,4610,1850.2,302814,0,runs\patchwork_production\committed\iter_011\iteration_011.pt,0.0,0.0,,0.40965010010533864,0.2969770074442581,0.851032304543036,0.3064033849923699,0.5273300271343302,2.725065801761769,2.724532594062664,0.7571205022158446,0.03324717578512651,0.0,3.1047630932595993,0.32429583359647685,0.32429583359647685,42.24888888888889,108.63806017202856,2.3935325664849763,0.11789569363893984,0.0008753402832876137,0.38874997018195295,34.52753929766546,1563.9689679145813,900,38024,449,451,33466
12,2026-02-25T10:21:07.303205Z,ecc4ea53266a,configs/config_best.yaml,3066d150a60e582c,True,5150,2168.5,303840,0,runs\patchwork_production\committed\iter_012\iteration_012.pt,0.0,0.0,,0.4279648113581869,0.29741832067569096,0.8522321143635997,0.30451910777224434,0.5375570193484978,2.7045722312397427,2.7039145368116873,0.767607804912108,0.033299787966879435,0.0,3.0774563665743226,0.31787402138665866,0.31787402138665866,42.663333333333334,109.66068178005338,2.3889465555713647,0.12497592994331717,0.005478941750668314,0.3880211471277505,32.90097536089437,1641.2887279987335,900,38397,478,422,33501
13,2026-02-25T10:52:49.661232Z,ecc4ea53266a,configs/config_best.yaml,54c7e62323654f8e,True,5690,1899.1,304023,0,runs\patchwork_production\committed\iter_013\iteration_013.pt,0.0,0.0,,0.41706820933355226,0.2981630438455829,0.8527672742251997,0.3040241275120665,0.5407909518038785,2.683158903210251,2.682537258995904,0.7728704980126133,0.03339231093241661,0.0,3.049849925217805,0.31169134836505963,0.31169134836505963,42.01,110.47579788116465,2.3668018825343,0.11371116782973922,0.0069729257743500386,0.39205584169909813,33.426109502357555,1615.503592967987,900,37809,480,420,33428
14,2026-02-25T11:24:13.904854Z,ecc4ea53266a,configs/config_best.yaml,4e0e4d89f0f077af,True,6230,1880.9,304250,0,runs\patchwork_production\committed\iter_014\iteration_014.pt,0.0,0.0,,0.4266482357073713,0.30159993640802524,0.8531817975971434,0.3033618422570052,0.5457587614103601,2.6650130324893526,2.6647076041610154,0.7778143722701956,0.033436671944542064,0.0,3.026840953032176,0.3065980694360203,0.3065980694360203,42.23777777777778,112.97781408716862,2.3534622268599397,0.11877059392966897,0.00884015621787019,0.3968927134095406,33.31580932218705,1620.8521149158478,900,38014,462,438,33407
15,2026-02-25T11:55:47.870595Z,ecc4ea53266a,configs/config_best.yaml,4f3c16b90fb6b89a,True,6770,1890.7,304619,0,runs\patchwork_production\committed\iter_015\iteration_015.pt,0.0,0.0,,0.4204191247898119,0.307577534240705,0.8526584479543897,0.3038740748056659,0.5470941415539494,2.656136955596782,2.6556770850110936,0.781340848075019,0.03373606019411926,0.0,3.012227498601984,0.3008484752089889,0.3008484752089889,42.526666666666664,112.25350201397696,2.33518510103354,0.1231939446683904,0.0025312268445951774,0.4037368830224855,32.73863757231927,1649.4272212982178,900,38274,440,460,33464
16,2026-02-25T12:26:56.031920Z,ecc4ea53266a,configs/config_best.yaml,ddb438b43d95b071,True,7310,1864.9,304776,0,runs\patchwork_production\committed\iter_016\iteration_016.pt,0.0,0.0,,0.4207225465112262,0.3115568995475769,0.8531849050963367,0.3033277788096004,0.550275097069917,2.638599157333374,2.6384470091925727,0.7835638573876134,0.033808970903218896,0.0,2.9905224517539697,0.2964335824052493,0.2964335824052493,42.44,112.6618897549057,2.3383337164596463,0.11958548363927292,0.010398980878460723,0.4017191091853907,33.29408665010391,1621.9096372127533,900,38196,447,453,33540
17,2026-02-25T12:58:12.854261Z,ecc4ea53266a,configs/config_best.yaml,1c0a4e8c803fb364,True,7850,1873.6,305034,0,runs\patchwork_production\committed\iter_017\iteration_017.pt,0.0,0.0,,0.4265596470623105,0.31627134592444806,0.8526503884130054,0.3040792147870417,0.5495680997769038,2.633717511759864,2.6335694321879632,0.7824741073228695,0.03397497465765034,0.0,2.978667844224859,0.28929403896133105,0.28929403896133105,42.50333333333333,113.11942848402876,2.332375672647586,0.12516414758817668,0.003968415064470265,0.403662593603048,32.95749320781235,1638.4741296768188,900,38253,457,443,33339
18,2026-02-25T13:29:40.653492Z,ecc4ea53266a,configs/config_best.yaml,1fbd2601b1328fc5,True,8390,1884.5,305144,0,runs\patchwork_production\committed\iter_018\iteration_018.pt,0.0,0.0,,0.42944265946193977,0.31931315665995635,0.8520210983576598,0.30493621296352813,0.5491375826023244,2.631168602572547,2.630712887534389,0.7827410130589096,0.03464050505793205,0.0,2.9702940517001686,0.28344857924514344,0.28344857924514344,42.41888888888889,116.22244854459532,2.371532776438323,0.12593677323431715,0.014724960398563428,0.39469241286708023,32.825506283550766,1645.0622127056122,900,38177,482,418,33274
19,2026-02-25T14:01:12.981494Z,ecc4ea53266a,configs/config_best.yaml,5f1b4e2f2768422f,True,8930,1889.1,305276,0,runs\patchwork_production\committed\iter_019\iteration_019.pt,0.0,0.0,,0.4096374546488126,0.32292681137720747,0.8511676627176779,0.3060534433082298,0.5504346660993717,2.6365562010694434,2.6363616996341284,0.7840066081947751,0.03572134804670457,0.0,2.967044880655077,0.2740587601507152,0.2740587601507152,42.39555555555555,117.18545002908158,2.4055585956846084,0.12503800450947747,0.014694790074630601,0.38843270497652144,32.584302918660995,1657.2396879196167,900,38156,477,423,33280
20,2026-02-25T14:32:49.977041Z,ecc4ea53266a,configs/config_best.yaml,842d512233647690,True,9470,1893.8,305004,0,runs\patchwork_production\committed\iter_020\iteration_020.pt,0.0,0.0,,0.4133107019243417,0.3259229571731002,0.8509563016670721,0.30641582884170393,0.5503693491220474,2.637493355627413,2.6368085931848597,0.7852541190606577,0.03624749037747582,0.0,2.9642153293998152,0.27057011549671495,0.27057011549671495,42.361111111111114,118.66215875548453,2.362626362413129,0.12475178834538986,0.012559632052263764,0.3988583888548751,32.5872131754637,1657.091685295105,900,38125,457,443,33268
21,2026-02-25T15:04:33.581380Z,ecc4ea53266a,configs/config_best.yaml,2e43d40306750fa1,True,10010,1900.3,305562,0,runs\patchwork_production\committed\iter_021\iteration_021.pt,0.0,0.0,,0.4318255445471516,0.3303143845112235,0.849927243369597,0.3075983549157778,0.5518474902267809,2.6410946832762825,2.6410004399440905,0.7865964137845569,0.03674346307223594,0.0,2.9647172548152785,0.2665540187999054,0.2665540187999054,42.63,119.37007721811077,2.3691097231207245,0.13128563688161446,0.016770051519851278,0.39864145383761923,32.44223980079966,1664.496666431427,900,38367,461,439,33216
22,2026-02-25T15:36:09.439638Z,ecc4ea53266a,configs/config_best.yaml,4c203a7fce70da1c,True,10550,1892.6,305993,0,runs\patchwork_production\committed\iter_022\iteration_022.pt,0.0,0.0,,0.4286169939570956,0.33088874292594417,0.8490550731067305,0.3088289940798724,0.5534466912349065,2.6458700798175956,2.645197414910352,0.787636591107757,0.03750960287396554,0.0,2.9667347369370636,0.26396008109052976,0.26396008109052976,42.71666666666667,118.81500691748357,2.3727996164999983,0.13183221112168728,0.00903913815577068,0.3999036542376746,32.52218501222876,1660.405042886734,900,38445,475,425,33270
23,2026-02-25T16:08:11.624475Z,ecc4ea53266a,configs/config_best.yaml,6abed662871c140c,True,11090,1918.9,306241,0,runs\patchwork_production\committed\iter_023\iteration_023.pt,0.0,0.0,,0.43209770824070326,0.33219082763901464,0.8477175003952451,0.3104430298562403,0.5547161159691987,2.6583518783251447,2.657687884789926,0.7886952784326341,0.03837632287155699,0.0,2.9726360881770097,0.2568688486737234,0.2568688486737234,42.80222222222222,120.39494522048861,2.4141208590796,0.13861156492780616,0.015479262959925938,0.39194925895277355,32.219378037851634,1676.0100066661835,900,38522,484,416,33051
24,2026-02-25T16:40:17.892900Z,ecc4ea53266a,configs/config_best.yaml,39fe76503da16dee,True,11630,1923.0,306608,0,runs\patchwork_production\committed\iter_024\iteration_024.pt,0.0,0.0,,0.42308044146608426,0.33241086519426766,0.8462288508812587,0.3121217877776534,0.5548011131860592,2.6711617284350924,2.6704113982341906,0.7901272509936934,0.03927213029453048,0.0,2.980276861455706,0.25126555244679805,0.25126555244679805,42.84777777777778,121.12770105391036,2.431071301100781,0.14230094068384033,0.01827214157538852,0.38713509311975386,31.99076920629224,1687.986920595169,900,38563,455,445,32954
